Area,ImageCount,InFront,Location.__lat__,Location.__lon__,ArchStyle,Address,Popup,Name,ShortName,EstimatedValue,YearBuilt,SquareFeet,LotSize,Notes,Website
North Scituate,1,,42.2190698,-70.78502,,361 Gannett Rd,,Luxury Nails & Spa,Nails,,,,,,https://qynailsspa.wixsite.com/qynails
North End,1,,42.36295,-71.05545,,226 Hanover St,,Lucca,,,,,,"<div style=""text-align:left;""><strong>From Wine Spectator:</strong><br/><br/>Few can match the wine program at Lucca North End. The 500-selection list has earned a Restaurant Award since 2002, splitting its focus between bottles from Italy and California. Large groups might consider celebrating with one of more than 20 large-format bottles on the list, and those looking to sample a small taste of something special can opt for one of the choice Coravin pours.</div>",http://www.luccaboston.com/
Hingham Harbor,1,,42.24477,-70.88465,,8 North St,,Liberty Grille,Bar,,,,,"Owner Christian Thompson, above.<br/><br/>
<strong><a href=""https://www.wickedlocal.com/story/mariner/2015/08/06/dishing-it-out-hingham-s/64715004007/"" target=""_blank"">Wiked Local Review</a></strong><br/><br/>
<strong>DISHING IT OUT: Hingham's Liberty Grille features fresh American fare in a historic setting</strong><br/><br/>
<strong>Name of staff and position:</strong><br/>
Christian Thompson, proprietor.<br/><br/>
<strong>How long have you worked here:</strong><br/>
This is our 16th year. Liberty Grille opened in June 1999 with the help of my family.<br/><br/>
<strong>How would you describe the food you serve at Liberty Grille:</strong><br/>
Fresh seafood and American fare with flair.<br/><br/>
<strong>Favorite dish on the menu:</strong><br/>
Our house specialty, scallop baked scrod – baked cod topped with cracker crumbs and scallops and baked in the oven.  We are also well known for our bar pizza which diners have given rave reviews.<br/><br/>
<strong>Favorite cocktail:</strong><br/>
Guy’s Chicago Bloody Mary – named after our bartender Guy Dennett – a 16-ounce Bloody Mary made with a combination of lemon and pepper vodka and our house specialty bloody Mary mix that comes with a pepperocini (pickled pepper), olive, wedge of lemon, and slice of salami with a celery salt rim.<br/><br/>
<strong>What’s on tap here?</strong><br/>
Budweiser, Bass Ale, and a tap for seasonal brew, currently Sam Adams Summer Ale.  The restaurant features a full bar.<br/><br/>
<strong>How would you describe your wine and cocktail lists?</strong><br/>
We stick to a handful of nice but not too expensive domestic wines -- with some unique and diverse selections.<br/><br/>
<strong>The best thing about working here:</strong><br/>
Being part of the community where I grew up and have lived for most of my life. I have found a niche in Hingham. I meet a lot of new people.<br/><br/>
<strong>What makes the Liberty Grille stand apart from other fine dining options in the area:</strong><br/>
We serve quality food made with fresh ingredients at a reasonable price in a casual, historic atmosphere.<br/><br/>
<i><strong>About Liberty Grille:</strong> Located at 8 North St. across from Hingham Harbor, the Liberty Grille is open 11 a.m. to 10 p.m. for lunch and dinner, seven days a week. Entrees are priced at $10 to $17. Reservations are available for parties of six or more. Take out is available. For more information call (781) 749-2444.</i>",
Crow Point,1,,42.249479099999995,-70.903628,,179 Lincoln St,,Gulf Crow Point,,,,,,"Open 24 hours, every day.",https://gulfoil.com/
Norwell,1,,42.16087582649158,-70.79242087100658,,33 West St,,Cheever Tavern,,,,,,"Welcome to Cheever Tavern, where flavorful, handmade food and drink, prepared with the freshest, locally sourced ingredients, is served in an equally tasteful setting, whether you’re inside, on the deck, or beside the fire pit on the patio. We’re a contemporary American Tavern situated in historic Norwell Center, with a nod to the past, but a passion for today’s tastes.<br/><br/>Cheever Tavern is named for Pulitzer Prize winner John Cheever, one of America’s premier authors of the 20th century. Cheever was born in Quincy, and he attended Thayer Academy. His first published short story, “Expelled,” was based on his experience at Thayer. Cheever passed away on June 18, 1982. His funeral was held across the street at the First Parish Unitarian Church, with his eulogy delivered by John Updike. He is buried next to his parents, a few feet from the front door of Cheever Tavern.",http://cheevertavern.com/
Scituate,1,,42.1935,-70.7254,,1 Cole Pkwy,,TW'S Watson Family Hardware,Hardware,,,,,"Hours: Mon-Sat 7:30AM - 5:00PM, Sun 9:00AM - 5:00PM",https://stores.truevalue.com/ma/scituate/21443/
Reeds Corner,1,,42.22242,-70.80501,,739 Chief Justice Cushing Hwy,,Shaw's Reeds Corner,Groceries,,,,,"<div style=""white-space:pre;"">
<strong>Tap. Shop. Save</strong>

Maximize your savings with the Shaw's Deals & Delivery app! Get all your deals, coupons and rewards in one easy place with up to 20% in weekly savings.* One app handles all your shopping needs from planning your next store run to ordering DriveUp & Go™ or letting us deliver to you. Download and register to start saving.<br/><br/>
*For Shaw's for U™ up to 20% weekly savings percentage details visit Shaw's for U™ Terms & Conditions shaws.com/foru.

<strong>ZENSHI</strong>

AFC Franchise Corporation’s history is rooted deep in Japanese heritage and tradition. As part of this tradition, AFC’s culture reflects the concept of “Wakei Seijyaku” a school of thought based on the combination of HARMONY, RESPECT, PURITY, AND TRANQUILITY to create a ZEN ideology. We have taken this ZEN ideology to define who we are. The meaning and application of these four concepts are as follows:

 • HARMONY - <strong>Wa</strong>kei Seijaku - We aim to build a team that works in harmony with each other and our partners. We create unique recipes that delight customers by combining distinct flavors and ingredients that work harmoniously together.

 • RESPECT - Wa<strong>kei</strong> Seijaku - We show respect for tradition and our heritage while acknowledging the need for continuous growth to meet the needs of the American palate. We show respect to each other, our partners and our consumers, the food we make, and the space we work in.

 • PURITY - Wakei <strong>Sei</strong>jaku - We take pride in ourselves, our workspaces, and the ingredients in our food by focusing on clean, sanitary, pure, and safe practices.
 
 • TRANQUILITY - Wakei Sei<strong>jaku</strong> - Staying calm and tranquil under pressure. Dealing with business matters with respect and honor.",https://local.shaws.com/ma/cohasset/739-chief-justice-cushing-hwy.html
South Hingham HM,1,,42.18756,-70.88348,Gambrel Cottage,1035 Main St,,Samuel Gardner Sr.,Gardner,"1,284,100",1738,2049,3.1,"House of Samuel Gardner Sr., near the grounds where Captain Enoch trained his militia at what is was Marchesiani Farmlands.",
Cohasset,1,,42.2439719,-70.8147936,,202 N Main St,,Wheelwright Park,Park,,,,,"As the name implies, and it is too big to tip.",https://www.nsrwa.org/listing/wheelwright-park/
Scituate,1,,42.19435,-70.72318,,Cole Pkwy,,Scituate Harbor Gazebo,Gazebo,,,,,Bandstand for musical events in the Summer.<br/><br/>Go to http://www.scituateharborma.com/events.html for the events schedule.,
